term,slug,definition,related_terms,unresolved_related_terms
Via de Administração,via-de-administracao,"As diferentes formas de usar cannabis medicinal, cada qual com características de início e duração dos efeitos. As principais vias incluem: **Inalatória (pulmonar)** – seja fumando ou vaporizando, leva o fármaco rapidamente à corrente sanguínea pelos alvéolos pulmonares, com início de ação em minutos 105 ; **Oral** (ingerindo cápsulas, comestíveis) – passa pelo trato digestivo e fígado, tendo início lento (30– 106 107 90 min) porém efeito prolongado (6–10h), e metabólitos ativos são formados (11-OH-THC) ; **Sublingual** (gotas de óleo ou tintura) – absorção pela mucosa da boca, mais rápida que oral e evitando parte do metabolismo de primeira passagem, com início em \~15–30 min; **Tópica** (aplicação na pele, cremes, pomadas) – para ação local, útil em dores musculares ou artrites localizadas, não atinge níveis sistêmicos significativos se for formulação não transdérmica; **Transdérmica** (adesivos) – liberação lenta e contínua através da pele para circulação, fornecendo níveis constantes (ainda em desenvolvimento para cannabis, mais comum com medicamentos); **Rectal** (supositórios) – poderia oferecer boa absorção sistêmica contornando o fígado parcialmente, com menos efeito psicoativo de THC, mas a evidência é anedótica; **Intranasal** (sprays) – como o caso do Sativex/Mevatyl que é bucal, não propriamente nasal, mas em teoria formulações nasais teriam absorção rápida também. A escolha da via depende da indicação: por exemplo, crises convulsivas podem requerer via rápida (alguns países usam nasal com CBD, ou retal), dor crônica e insônia podem aproveitar via oral noturna, dores episódicas podem beneficiar de vaporização, etc. Todas as vias medicinais mencionadas evitam a toxicidade de inalar fumaça quente cheia de subprodutos da combustão. A **biodisponibilidade** varia: fumando, \~10-35% do 34 106 THC é absorvido; oral, \~6-20% apenas, devido à degradação gástrica e metabólica . Assim, dose e frequências diferem entre vias. A via também influencia a experiência – inhalada dá pico rápido e curto; oral, efeito mais “corporal” e prolongado. Em resumo, a “via de administração” é parte crucial da terapia com cannabis, devendo ser adequada à condição tratada e ao perfil do paciente. 23 **Categoria:** Farmacologia / Uso clínico **Relação com outras palavras: Fumar**, **Vaporização**, **Óleo sublingual**, **Comestíveis**, **Biodisponibilidade** 24 1 6 32 33 34 87 91 95 97 98 105 106 107 https://pt.wikipedia.org/wiki/Tetrahidrocanabinol Tetrahidrocanabinol – Wikipédia, a enciclopédia livre 2 4 7 8 43 57 92 96 A diferença entre óleos de Cannabis Full Spectrum e Isolado https://cbfarma.com.br/a-diferenca-entre-oleos-de-cannabis-full-spectrum-e-isolado/ 3 47 51 52 53 86 88 Sistema Endocanabinoide: o que é e por que você precisa conhecer https://wecann.academy/sistema-endocanabinoide-o-que-vc-precisa-saber/ 5 9 10 19 22 31 35 36 37 42 44 46 65 72 73 74 89 para Termos e Definições https://linhacanabica.com/glossario-cannabis Glossário de Cannabis: Guia Completo 11 12 17 18 20 23 59 69 70 71 84 90 93 https://cdesc.org.br/glossario/ GLOSSÁRIO \- CDESC 13 14 15 16 Canabidiol – Wikipédia, a enciclopédia livre https://pt.wikipedia.org/wiki/Canabidiol 21 66 68 STJ dá salvo-conduto para cultivo medicinal de Cannabis https://www.stj.jus.br/sites/portalp/Paginas/Comunicacao/Noticias/2024/22012024-STJ-concede-liminares-para-autorizar-o cultivo-domestico-de-cannabis-com-fins-medicinais-sem-risco-de-sancao.aspx 24 What Is CBC and What Are the Benefits of This Cannabinoid? \- Leafly https://www.leafly.com/news/cannabis-101/what-is-cannabichromene-cbc-cannabinoid 25 The Potential of Cannabichromene (CBC) as a Therapeutic Agent https://pubmed.ncbi.nlm.nih.gov/38777605/ 26 Inhibitory effect of cannabichromene, a major non-psychotropic ... https://pmc.ncbi.nlm.nih.gov/articles/PMC3417459/ 27 28 29 Cannabigerol \- Wikipedia https://en.wikipedia.org/wiki/Cannabigerol 30 Acute effects of cannabigerol on anxiety, stress, and mood \- Nature https://www.nature.com/articles/s41598-024-66879-0 38 39 40 41 76 77 78 Brasil Maconha: entenda a diferença entre descriminalização e legalização | CNN https://www.cnnbrasil.com.br/politica/maconha-entenda-a-diferenca-entre-descriminalizacao-e-legalizacao/ 45 58 60 61 62 63 64 75 CBD Isolado vs CBD de Espectro Completo vs CBD de Amplo Espectro \- Portal Sorocaba.Com \- O Portal da cidade de Sorocaba na Internet \- Agenda Cultural, Notícias, Cinemas, Guia Comercial https://sorocaba.com.br/colunista/cbd-isolado-vs-cbd-de-espectro-completo-vs-cbd-de-amplo-espectro/ 48 Endocannabinoid system \- Wikipedia https://en.wikipedia.org/wiki/Endocannabinoid\_system 49 50 Sistema endocanabinoide – Wikipédia, a enciclopédia livre https://pt.wikipedia.org/wiki/Sistema\_endocanabinoide 54 55 FDA-approved drug Epidiolex placed in schedule V of Controlled ... https://www.dea.gov/press-releases/2018/09/27/fda-approved-drug-epidiolex-placed-schedule-v-controlled-substance-act 56 OMS divulga recomendação para não catalogar canabidiol como ... https://agenciabrasil.ebc.com.br/internacional/noticia/2017-12/oms-divulga-recomendacao-para-nao-catalogar-canabidiol como-droga 25 67 40 associações de pacientes possuem habeas corpus para cultivo ... https://sechat.com.br/noticia/40-associacoes-possuem-habeas-corpus-para-cultivo-de-cannabis-no-brasil 79 OMS: cannabis é droga ilícita mais consumida no mundo, com 180 ... https://brasil.un.org/pt-br/72838-oms-cannabis-%C3%A9-droga-il%C3%ADcita-mais-consumida-no-mundo-com-180- milh%C3%B5es-de-usu%C3%A1rios 80 Floriplanta | Cannabis Medicinal e Bem-Estar https://floriplanta.com.br/ 81 82 Registrado primeiro medicamento à base de Cannabis sativa https://www.gov.br/anvisa/pt-br/assuntos/noticias-anvisa/2018/registrado-primeiro-medicamento-a-base-de-cannabis-sativa 83 Cannabis and Anvisa: what is and what is not allowed in Brazil? https://wecann.academy/en/cannabis-and-anvisa-what-is-and-what-is-not-allowed-in-brazil/ 85 \[PDF\] Os riscos do uso da maconha e de sua legalização \- Portal Gov.br https://www.gov.br/mds/pt-br/noticias-e-conteudos/desenvolvimento-social/noticias-desenvolvimento-social/ministerio-da cidadania-lanca-cartilha-sobre-os-riscos-do-uso-e-da-legalizacao-da-maconha/ copy2\_of\_\_RISCOS\_USO\_MACONHA\_DIGITAL\_SENAPRED.pdf 94 Os terpenos amplificam ou melhoram os efeitos dos canabinoides ... https://www.caliterpenes.com/blog/br/terpenos-potenciam-efeitos-cannabinoides/ 99 Vaporizadores de ervas secas: Guia completo de benefícios, https://www.canapuff.pt/blogs/canabis/vaporizadores-de-ervas-secas-guia-beneficios-tipos-e-uso 100 104 Vaporizadores de ervas: para utilizar cannabis medicinal\! https://www.vitrinedovape.net/vaporizador/ 101 Vaporizador de Ervas Secas: Vapor Puro e Discreto \- Elite Vape 420 https://www.lojaelitevape420.com/vaporizador-cannabis/vaporizador-de-ervas/ 102 103 O papel medicinal da vaporização das flores de cannabis https://cannabismedicinal.com.br/colunistas/o-papel-medicinal-da-vaporizacao-das-flores-de-cannabis/","[""ANVISA"", ""Artrites"", ""Biodisponibilidade"", ""CBC"", ""CBD"", ""Canabidiol"", ""Canabinol"", ""Cannabinoide"", ""Cannabis"", ""Cannabis Medicinal"", ""Cannabis Sativa"", ""Cultivo Medicinal"", ""Descriminalização"", ""Dor Crônica"", ""Endocanabinoide"", ""Epidiolex"", ""Espectro Completo"", ""Full Spectrum"", ""Habeas Corpus"", ""Indica"", ""Insônia"", ""Legalização"", ""Maconha"", ""Mevatyl"", ""Psicoativo"", ""SEC"", ""Salvo-Conduto"", ""Sativa"", ""Sativex"", ""Sistema Endocanabinoide"", ""THC"", ""Terpenos""]",[]
Arachidonoylglycerol (2-AG),arachidonoylglycerol ,"Um dos endocanabinoides mais abundantes e estudados, atuando como ligante fisiológico para os receptores CB1 e CB2. É um eicosanoide, um tipo de lipídio endógeno.","[""CB1"", ""CB2"", ""Endocanabinoide"", ""Endocanabinoides""]",[]
Acetilcolina,acetilcolina,"Neurotransmissor importante para a aprendizagem e memória. Alguns terpenos, como o alfa-pineno, podem inibir a acetilcolinesterase, uma enzima que degrada a acetilcolina, sugerindo um papel na melhoria da memória e na minimização da disfunção cognitiva induzida pelo THC.","[""Pineno"", ""THC"", ""Terpenos""]",[]
Acórdãos,acordaos,"A decisão do órgão colegiado de um tribunal. No caso do STJ, diversos acórdãos têm concedido salvo-conduto para o cultivo medicinal de cannabis.","[""Cannabis"", ""Cultivo Medicinal"", ""RSO"", ""Salvo-Conduto""]",[]
Agonista,agonista,"Uma substância química que se liga a um receptor e ativa uma resposta biológica, mimetizando a ação de um neurotransmissor natural do corpo. O THC é um agonista parcial dos receptores CB1.","[""CB1"", ""THC""]",[]
Modulador Alostérico,modulador-alosterico,"Uma substância que se liga a um local diferente do receptor (sítio alostérico) e altera a forma como o receptor processa um sinal, sem ativá-lo diretamente. Pode ser um Modulador Alostérico Positivo (PAM), que aumenta a afinidade ou eficácia do agonista, ou um Modulador Alostérico Negativo (NAM), que a diminui. Funcionam como um ""controle de volume"" para a sinalização do receptor, oferecendo vantagens farmacológicas como maior especificidade e redução de efeitos colaterais.","[""Agonista""]",[]
Analgésico,analgesico,Perda de dor onde a dor seria tipicamente evidente sem perda de consciência; uma droga ou medicamento que combate a dor.,[],[]
Antagonista,antagonista,"Uma substância que se liga a um receptor e bloqueia ou inibe a ação de outro agonista, impedindo uma resposta biológica.","[""Agonista""]",[]
Biodisponibilidade,biodisponibilidade,"Refere-se à rapidez e eficiência com que uma substância é absorvida na corrente sanguínea e em qual percentagem. A biodisponibilidade dos canabinoides varia significativamente com a via de administração, impactando a dose necessária e o início/duração dos efeitos.","[""Via de Administração""]",[]
Bisabolol,bisabolol,"Terpeno com aroma floral, semelhante à camomila. Possui efeitos medicinais anti-inflamatórios, analgésicos, antipiréticos e antioxidantes. Terapeuticamente, é relaxante muscular, anti-estresse e estimulante do ânimo.","[""Analgésico"", ""Anti-inflamatório""]",[]
Brácteas,brácteas,Estruturas verdes em forma de lágrima que contêm as partes reprodutivas da planta fêmea e são densamente cobertas por glândulas de resina (tricomas). Localizam-se na base das flores e são uma das partes mais potentes da planta.,"[""Tricomas""]",[]
Budder,budder,"Um extrato de cannabis altamente potente, com consistência intermediária entre honey oil e wax.","[""Cannabis""]",[]
Budtender,budtender,"A pessoa que atende em um dispensário de cannabis e ajuda a orientar os clientes para o produto certo. Em alguns locais, são chamados de ""Wellness Advisors"".","[""Cannabis"", ""Dispensário""]",[]
Cânhamo,cânhamo,"Variação da planta Cannabis sativa cultivada para fabricação de bens de consumo (papel, corda, tecido, óleos). Contém níveis muito baixos de THC.","[""Cannabis"", ""Cannabis Sativa"", ""Sativa"", ""THC""]",[]
Canabinoides Menores e Ácidos,canabinoides-menores-e-ácidos,"Além do THC e CBD, a planta de cannabis produz uma vasta gama de outros canabinoides, muitos dos quais são precursores ácidos ou possuem perfis terapêuticos distintos. Incluem CBDA, CBGA, THCA, CBDV e Delta-8 THC.","[""CBD"", ""CBDA"", ""CBDV"", ""CBG"", ""CBGA"", ""Cannabis"", ""Delta-8 THC"", ""RSO"", ""THC"", ""THCA""]",[]
CBDA,cbda,"É o precursor ácido não psicoativo do CBD. Pesquisas preliminares sugerem que o CBDA pode ter propriedades anti-inflamatórias, ansiolíticas e antieméticas.","[""Ansiolítico"", ""Anti-inflamatório"", ""CBD"", ""CBDA"", ""Psicoativo"", ""RSO""]",[]
CBGA,cbga,"Conhecido como o ""canabinoide mãe"" por ser o precursor biossintético de outros canabinoides principais, como THCA, CBDA e CBCA. Estudos recentes indicam que o CBGA pode apresentar propriedades anticonvulsivantes, anti-inflamatórias, antimicrobianas e antioxidantes, com potencial para superar o CBD em alguns aspectos.","[""Anti-inflamatório"", ""Anticonvulsivante"", ""CBC"", ""CBCA"", ""CBD"", ""CBDA"", ""CBG"", ""CBGA"", ""Indica"", ""RSO"", ""THC"", ""THCA""]",[]
THCA,thca,É o precursor ácido não psicoativo do THC. Possui características antibacterianas e antibióticas. É convertido na forma psicoativa THC através de um processo de aquecimento chamado descarboxilação.,"[""Antibacteriano"", ""Descarboxilação"", ""Psicoativo"", ""RSO"", ""THC""]",[]
CBDV,cbdv,"Canabinoide não psicoativo, estruturalmente similar ao CBD, mas com uma cadeia lateral mais curta. Pesquisas indicam que pode ser benéfico para condições neurológicas, incluindo convulsões, dor e inflamação, e tem sido objeto de estudos clínicos para epilepsia e autismo, mostrando potencial anticonvulsivante e neuroprotetor.","[""CBD"", ""Convulsões"", ""Indica"", ""Psicoativo""]",[]
Delta-8 THC,delta-8-thc,"Um isômero do Delta-9 THC, encontrado naturalmente em quantidades vestigiais na planta. Produz efeitos psicoativos mais leves que o Delta-9 THC e tem sido comercializado como uma alternativa legal em algumas jurisdições devido a lacunas regulatórias.","[""Psicoativo"", ""THC""]",[]
Cariofileno,cariofileno,"Terpeno com aroma picante, apimentado, amadeirado. É único entre os terpenos por ser também um canabinoide dietético, ligando-se ao receptor CB2 sem causar psicoatividade. Possui potencial anti-inflamatório, analgésico, antibacteriano e ansiolítico.","[""Analgésico"", ""Ansiolítico"", ""Anti-inflamatório"", ""CB2"", ""Terpenos""]",[]
Ácido Canabidiólico,ácido-canabidiólico,"Forma ácida do canabidiol (CBD). Não é psicoativa; descarboxila-se em CBD quando aquecida. Demonstra potenciais efeitos anti-inflamatórios, antieméticos e ansiolíticos. Encontrado em suco ou extratos de planta crua.","[""Ansiolítico"", ""Anti-inflamatório"", ""Antiemético"", ""CBD"", ""Canabidiol""]",[]
Canabidivarina,canabidivarina,"Fitocanabinoide não psicoativo análogo ao CBD, porém com cadeia lateral propil. Pesquisado para epilepsias refratárias, autismo e distúrbios do sono. A GW Pharma desenvolve o candidato clínico GWP42006 à base de CBDV.","[""CBD"", ""CBDV"", ""Epilepsias Refratárias"", ""Fitocanabinoide"", ""Psicoativo""]",[]
Ácido Canabigerólico,ácido-canabigerólico,"Apelidado de “mãe dos canabinoides”. Precursor biossintético de THCA, CBDA e CBCA; enzimas da planta convertem CBGA nesses ácidos. Não psicoativo, mas possui atividade anti-inflamatória e potencial antimicrobiana.","[""CBC"", ""CBCA"", ""CBD"", ""CBDA"", ""CBG"", ""CBGA"", ""Psicoativo"", ""RSO"", ""THC"", ""THCA""]",[]
CHS,chs,"Síndrome de Hiperêmese Canabinoide – episódios cíclicos de náuseas e vômitos em usuários crônicos de cannabis, aliviados por banhos quentes. Interromper o uso costuma resolver o quadro; causa exata ainda indefinida.","[""Cannabis"", ""Síndrome de Hiperêmese Canabinoide""]",[]
Síndrome de Hiperêmese Canabinoide,síndrome-de-hiperêmese-canabinoide,"Uma condição paradoxal que afeta usuários crônicos e diários de cannabis, caracterizada por episódios recorrentes e graves de náuseas, vômitos e dores abdominais. É frequentemente aliviada por banhos quentes compulsivos e pode ser confundida com a síndrome do vômito cíclico. Possui fases prodrômica, hiperemética e de recuperação.","[""Cannabis""]",[]
Competência,competência,"Capacidade legal para julgar um processo ou tomar uma decisão. No contexto da cannabis, a questão da competência entre a justiça e a ANVISA para autorizar o plantio e cultivo tem sido um ponto de debate.","[""ANVISA"", ""Cannabis""]",[]
Delta-8-Tetraidrocanabinol,delta-8-tetraidrocanabinol,"Isômero do THC com dupla ligação no carbono 8. Psicoativo, porém cerca de 50–70 % tão potente quanto o Δ⁹-THC. Usualmente obtido por isomerização de CBD de cânhamo; sua legalidade é controversa. Efeitos relatados: euforia mais suave e menor ansiedade.","[""Ansiedade"", ""CBD"", ""Cânhamo"", ""Psicoativo"", ""THC""]",[]
Dispensário,dispensário,Uma loja de varejo onde se pode ter acesso à cannabis para fins médicos ou recreativos.,"[""Cannabis""]",[]
Dopamina,dopamina,"Neurotransmissor frequentemente associado a prazer, recompensa e motivação. O THC estimula sua liberação nos centros de recompensa do cérebro, gerando sentimentos de euforia e prazer. No entanto, o uso crônico pode levar a alterações no sistema dopaminérgico, potencialmente afetando a motivação e o prazer em atividades diárias.","[""THC""]",[]
Dores Crônicas,dores-crônicas,"Uma das indicações mais comuns para a cannabis medicinal, abrangendo dor neuropática, inflamatória, dores de cabeça (não migrânea), dor articular e espasticidade. O uso de cannabis pode levar à redução do consumo de opioides para alívio da dor, diminuindo o risco de overdose. No entanto, estudos recentes apontam para um risco elevado de arritmia em pacientes com dor crônica que iniciam tratamento com cannabis medicinal, especialmente nos primeiros 180 dias.","[""Cannabis"", ""Cannabis Medicinal"", ""Dor Crônica"", ""Indica""]",[]
Endometriose,endometriose,As propriedades analgésicas e anti-inflamatórias dos canabinoides tornam a cannabis medicinal uma alternativa terapêutica adjuvante promissora para o manejo de dores crônicas associadas a transtornos ginecológicos como a endometriose.,"[""Analgésico"", ""Anti-inflamatório"", ""Cannabis"", ""Cannabis Medicinal"", ""Dores Crônicas""]",[]
Epilepsias Refratárias,epilepsias-refratárias,"Formas raras e graves de epilepsia. O Epidiolex® (solução oral de CBD) é o único medicamento derivado de cannabis aprovado pela FDA para o tratamento de convulsões associadas a essas síndromes, demonstrando eficácia em ensaios clínicos controlados.","[""CBD"", ""Cannabis"", ""Convulsões"", ""Epidiolex""]",[]
Síndrome de Lennox-Gastaut,síndrome-de-lennox-gastaut,"Forma grave de epilepsia infantil caracterizada por múltiplos tipos de crises (tônicas, atônicas, ausência atípica), início entre 3–5 anos e atraso cognitivo progressivo. É frequentemente farmacorresistente; o **Epidiolex** (CBD puro) foi aprovado visando redução de crises.","[""CBD"", ""Epidiolex""]",[]
Síndrome de Dravet,síndrome-de-dravet,"Epilepsia mioclônica de início na infância, ligada a mutações no gene SCN1A, com convulsões prolongadas, febre‑induzidas e atraso neuropsicomotor. Altamente refratária. O **canabidiol (Epidiolex)** demonstrou diminuir a frequência de crises em ensaios clínicos.","[""Canabidiol"", ""Convulsões"", ""Epidiolex""]",[]
Epidiolex,epidiolex,"Uma formulação de CBD isolado aprovada para o tratamento de convulsões severas da síndrome de Dravet, síndrome de Lennox-Gastaut ou complexo de esclerose tuberosa.","[""CBD"", ""Convulsões"", ""Síndrome de Dravet"", ""Síndrome de Lennox-Gastaut""]",[]
Epinefrina,epinefrina,"Neurotransmissores excitatórios associados à resposta de ""luta ou fuga"", que aumentam a frequência cardíaca e a pressão arterial.","[""Neurotransmissores""]",[]
Adrenalina,adrenalina,"Também chamada **epinefrina**, é um hormônio e neurotransmissor do sistema nervoso simpático. Eleva frequência cardíaca, pressão arterial e glicose sanguínea em resposta ao estresse (“luta ou fuga”).","[""Epinefrina""]",[]
Norepinefrina,norepinefrina,"Sinônimo de **noradrenalina** – neurotransmissor e hormônio que atua em receptores adrenérgicos α e β, regulando atenção, humor e resposta ao estresse. Ver **Noradrenalina**.","[""Adrenalina"", ""Noradrenalina""]",[]
Noradrenalina,noradrenalina,"Neurotransmissor catecolaminérgico responsável por vigilância, tônus vascular e resposta de estresse. Formado a partir da dopamina e precursor da adrenalina; atua no sistema nervoso central e periférico.","[""Adrenalina"", ""Dopamina"", ""RSO""]",[]
Esclerose Múltipla,esclerose-múltipla,"A cannabis, especialmente na forma de Sativex® (nabiximols), é prescrita no Reino Unido e em outros países para o tratamento da espasticidade (espasmos e rigidez muscular) e dor em pacientes com EM. Evidências sugerem um benefício modesto para a espasticidade com canabinoides não inalados.","[""Cannabis"", ""Nabiximols"", ""Sativex""]",[]
FAAH (Fatty Acid Amide Hydrolase),faah-fatty-acid-amide-hydrolase,"Principal enzima responsável pela degradação da anandamida (AEA), um endocanabinoide crucial. A inibição da FAAH pode aumentar os níveis de anandamida no corpo, prolongando seus efeitos e potencializando a sinalização endocanabinoide.","[""AEA"", ""Anandamida"", ""Endocanabinoide"", ""FAAH""]",[]
Flavonoides,flavonoides,"Compostos fitoquímicos presentes em flores, frutas e vegetais, não apenas na cannabis. São responsáveis pela pigmentação, cheiro e sabor da flora natural. Embora menos pesquisados que canabinoides e terpenos, os flavonoides da cannabis (cannaflavinas) possuem propriedades anti-inflamatórias, antioxidantes e anticancerígenas, e acredita-se que atuem sinergicamente com outros fitocanabinoides para potencializar os efeitos terapêuticos.","[""Anti-inflamatório"", ""Cannabis"", ""Fitocanabinoide"", ""Fitocanabinoides"", ""Flavonoide"", ""Flavonoides"", ""Terpenos""]",[]
GABA (Ácido Gama-Aminobutírico),gaba-ácido-gama-aminobutírico,"O principal neurotransmissor inibitório do sistema nervoso central, responsável por reduzir a excitabilidade neuronal. O CBD pode potencializar a ação do GABA, promovendo relaxamento e ajudando a reduzir os níveis de ansiedade.","[""Ansiedade"", ""CBD""]",[]
Geraniol,geraniol,"Terpeno com aroma floral, semelhante a rosas. Possui efeitos medicinais antioxidantes, antitumorais, antibacterianos, antivirais e anti-inflamatórios, além de aliviar espasmos musculares. Terapeuticamente, reduz o estresse e alivia a tensão muscular.","[""Anti-inflamatório""]",[]
Ghrelin,ghrelin,"Conhecido como o ""hormônio da fome"", produzido principalmente pelo estômago, estimula o apetite. O THC pode influenciar o apetite, sendo relevante em condições como a síndrome de desgaste por HIV.","[""THC""]",[]
Glaucoma,glaucoma,Mencionado como uma condição para a qual a cannabis medicinal pode ser utilizada.,"[""Cannabis"", ""Cannabis Medicinal""]",[]
Glutamato,glutamato,"O principal neurotransmissor excitatório do cérebro, vital para processos como aprendizado, memória e plasticidade sináptica. A cannabis pode afetar os níveis de glutamato; a exposição aguda geralmente inibe sua liberação, enquanto o uso crônico pode aumentá-la.","[""Cannabis""]",[]
Histamina,histamina,Neurotransmissor associado a respostas inflamatórias e alérgicas.,[],[]
Homeostase,homeostase,A manutenção de um ambiente interno constante. O Sistema Endocanabinoide (SEC) atua para manter e restaurar a homeostase do organismo.,"[""Endocanabinoide"", ""SEC"", ""Sistema Endocanabinoide""]",[]
Hub Canábico,hub-canábico,"Espaços ou comunidades que reúnem startups e iniciativas focadas em inovação e estratégias para difundir os benefícios da planta globalmente, como o The Green Hub no Brasil.","[""The Green Hub""]",[]
The Green Hub,the-green-hub,"Aceleradora brasileira criada em 2016 para fomentar o ecossistema de cannabis medicinal e cânhamo industrial. Oferece mentorias, investimento-semente e networking a start-ups de cultivo, P&D, devices, cosméticos e biotecnologia.","[""Cannabis"", ""Cannabis Medicinal"", ""Cânhamo""]",[]
Humuleno,humuleno,"Terpeno com aroma terroso, amadeirado, picante. Possui propriedades anti-inflamatórias, antitumorais e antibacterianas.","[""Anti-inflamatório"", ""Antibacteriano""]",[]
Indica,indica,"Uma das três principais espécies de cannabis, provavelmente originária da Índia, Paquistão e Afeganistão, caracterizada por plantas mais curtas e arbustivas com folhas largas.","[""Cannabis""]",[]
Interações Medicamentosas,interações-medicamentosas,"Canabinoides, especialmente CBD e THC, são metabolizados no fígado por enzimas do citocromo P450 (CYP). Isso significa que podem interagir com outros medicamentos que também são metabolizados por essas enzimas, alterando suas concentrações plasmáticas e potencializando ou diminuindo seus efeitos. Um exemplo notável é a interação do CBD com o clobazam, um medicamento antiepiléptico, que pode aumentar os níveis plasmáticos de seu metabólito ativo e o risco de efeitos colaterais como sonolência.","[""CBD"", ""Sonolência"", ""THC""]",[]
JIFE (Junta Internacional de Fiscalização de Entorpecentes - INCB),jife-junta-internacional-de-fiscalização-de-entorpecentes---incb,Um órgão central da ONU que supervisiona a implementação das convenções internacionais e os sistemas de controle de drogas.,[],[]
Lei 11.343/2006,lei-11.3432006,"Define como drogas as substâncias que causam dependência e proíbe o plantio, cultura, colheita e exploração de vegetais dos quais possam ser produzidas drogas, ressalvada a autorização legal ou regulamentar para fins medicinais ou científicos. O artigo 2º, parágrafo único, prevê a possibilidade de autorização da União para o cultivo para fins medicinais ou científicos.",[],[]
Lei de Drogas,lei-de-drogas,"Define como drogas as substâncias que causam dependência e proíbe o plantio, cultura, colheita e exploração de vegetais dos quais possam ser produzidas drogas, ressalvada a autorização legal ou regulamentar para fins medicinais ou científicos. O artigo 2º, parágrafo único, prevê a possibilidade de autorização da União para o cultivo para fins medicinais ou científicos.",[],[]
Legislação Estadual,legislação-estadual,"Alguns estados brasileiros, como Santa Catarina, têm instituído políticas estaduais para o fornecimento gratuito de medicamentos à base de cannabis e produtos de cannabis para fins medicinais em unidades de saúde pública e privada conveniadas.","[""Cannabis""]",[]
Limoneno,limoneno,"Terpeno com aroma cítrico, de limão. Associado à melhora do humor e alívio do estresse, com potenciais propriedades ansiolíticas e antidepressivas.","[""Ansiolítico"", ""Antidepressivo""]",[]
Linalol,linalol,"Terpeno com aroma floral. Associado a efeitos calmantes, anti-inflamatórios, anticancerígenos, ansiolíticos e analgésicos, sendo ideal para relaxamento e alívio do estresse.","[""Analgésico"", ""Ansiolítico"", ""Anti-inflamatório""]",[]
Maconha,maconha,Nome popular da planta Cannabis sativa L..,"[""Cannabis"", ""Cannabis Sativa"", ""Sativa""]",[]
Marcha da Maconha,marcha-da-maconha,"Um movimento social aglutinador de diversas instituições que busca a mudança de paradigma legal da cannabis no Brasil, implantando uma agenda política e um calendário de eventos públicos em torno da maconha. O Supremo Tribunal Federal (STF) decidiu que a Marcha da Maconha é garantida pela liberdade de pensamento, expressão e reunião.","[""Cannabis"", ""Maconha"", ""STF""]",[]
Mirceno,mirceno,"Terpeno com aroma terroso, almiscarado, herbal, semelhante ao lúpulo. Conhecido por seus efeitos relaxantes e sedativos, pode ajudar no sono e alívio da dor. É frequentemente encontrado em variedades indica e pode potencializar os efeitos psicoativos do THC.","[""Indica"", ""Psicoativo"", ""Sedativo"", ""THC""]",[]
Nabilone,nabilone,Uma versão sintética de THC licenciada no Reino Unido para tratar náuseas e vômitos induzidos por quimioterapia.,"[""Quimioterapia"", ""THC""]",[]
Nerolidol,nerolidol,"Terpeno com aroma amadeirado, floral. Possui efeitos medicinais antiparasitários, antioxidantes, antifúngicos e antimicrobianos, além de combater células cancerosas. Terapeuticamente, é relaxante, anti-estresse e eleva o ânimo.",[],[]
Neurotransmissores,neurotransmissores,"Os compostos da cannabis, principalmente THC e CBD, interagem com diversos sistemas de neurotransmissores no cérebro, influenciando funções cruciais como humor, cognição, percepção da dor e apetite.","[""CBD"", ""Cannabis"", ""RSO"", ""THC""]",[]
Ocimeno,ocimeno,"Terpeno com aroma doce, herbal, amadeirado. Possui efeitos medicinais antivirais, antifúngicos, antissépticos, descongestionantes e antibacterianos. Terapeuticamente, oferece efeitos sedativos e relaxantes, alivia o estresse.","[""Sedativo""]",[]
Pineno,pineno,"Terpeno com aroma de pinho, romero. Pode promover o estado de alerta e o foco, além de ter efeitos anti-inflamatórios e antimicrobianos. Também pode inibir a ação do THC sobre a memória.","[""Anti-inflamatório"", ""THC""]",[]
PL 399/2015 (Projeto de Lei nº 399/2015),pl-3992015-projeto-de-lei-n-3992015,"Propõe alterar o artigo 2º da Lei nº 11.343/2006 (Lei de Drogas) para viabilizar o plantio e a comercialização de fármacos que contenham extratos, substratos ou partes da planta de cannabis no Brasil. É o projeto de lei com maior evolução no Congresso Nacional.","[""Cannabis"", ""Lei de Drogas""]",[]
RDC 327/2019 (Resolução da Diretoria Colegiada nº 327/2019 da ANVISA),rdc-3272019-resolução-da-diretoria-colegiada-n-3272019-da-anvisa,"Um marco regulatório crucial que dispõe sobre os procedimentos para a concessão de autorização sanitária para a fabricação e importação, e estabelece requisitos para a comercialização, prescrição, dispensação, monitoramento e fiscalização de produtos de cannabis para fins medicinais de uso humano. Esta resolução não permite a importação da planta in natura ou partes da planta, incluindo flores, nem extratos concentrados que possibilitem o uso fumado.","[""Cannabis""]",[]
RDC 660/2022 (Resolução da Diretoria Colegiada - RDC 660/2022 da ANVISA),rdc-6602022-resolução-da-diretoria-colegiada---rdc-6602022-da-anvisa,"A resolução que estabelece os critérios para que pessoas físicas possam importar, para tratamento de sua saúde, produtos derivados de cannabis. A autorização tem validade de dois anos, permitindo a importação mediante prescrição médica.","[""Cannabis""]",[]
